itemNumber,title,cin,cout
24980,"C in a nutshell","2009-01-17 12:21:00","2009-01-09 13:52:00"
24980,"C in a nutshell","2009-03-11 22:48:00","2009-01-23 15:39:00"
24980,"C in a nutshell","2009-03-13 10:45:00","2009-01-23 15:39:00"
24980,"C in a nutshell","2009-07-07 18:39:00","2009-05-05 14:26:00"
25063,"C in a nutshell","2009-02-24 21:52:00","2008-11-15 17:47:00"
25063,"C in a nutshell","2009-02-25 12:51:00","2008-11-15 17:47:00"
25063,"C in a nutshell","2009-02-26 17:20:00","2009-02-26 16:38:00"
25063,"C in a nutshell","2009-04-14 21:29:00","2009-02-26 16:38:00"
25063,"C in a nutshell","2009-04-16 11:30:00","2009-02-26 16:38:00"
25063,"C in a nutshell","2009-04-29 18:12:00","2009-04-17 15:48:00"
25063,"C in a nutshell","2009-07-13 15:25:00","2009-06-14 15:47:00"
25063,"C in a nutshell","2009-10-27 14:40:00","2009-10-22 14:04:00"
25063,"C in a nutshell","2010-01-29 17:05:00","2009-10-22 14:04:00"
25063,"C in a nutshell","2007-07-10 11:22:00","2005-06-07 19:58:00"
25063,"C in a nutshell","2010-09-30 17:46:00","2010-07-05 17:56:00"
25063,"C in a nutshell","2011-02-06 21:30:00","2010-07-05 17:56:00"
25063,"C in a nutshell","2011-02-07 10:57:00","2010-07-05 17:56:00"
25063,"C in a nutshell","2011-03-05 11:07:00","2011-02-12 13:46:00"
25063,"C in a nutshell","2011-06-13 13:44:00","2011-02-12 13:46:00"
25063,"C in a nutshell","2011-07-05 15:47:00","2011-06-13 17:03:00"
25063,"C in a nutshell","2011-07-17 18:18:00","2011-06-13 17:03:00"
25063,"C in a nutshell","2011-07-18 12:15:00","2011-06-13 17:03:00"
25063,"C in a nutshell","2011-09-29 11:08:00","2011-09-14 12:19:00"
25063,"C in a nutshell","2011-11-03 19:11:00","2011-10-11 18:48:00"
25063,"C in a nutshell","2011-12-27 19:31:00","2011-11-26 14:34:00"
25063,"C in a nutshell","2012-02-09 19:58:00","2012-02-06 10:02:00"
25063,"C in a nutshell","2012-03-20 15:02:00","2012-03-20 15:01:00"
25063,"C in a nutshell","2012-05-10 14:08:00","2012-04-20 10:18:00"
25063,"C in a nutshell","2012-12-21 17:13:00","2012-12-11 13:23:00"
25063,"C in a nutshell","2013-04-04 15:41:00","2013-02-22 13:59:00"
25063,"C in a nutshell","2007-08-04 11:23:00","2007-07-11 18:54:00"
25063,"C in a nutshell","2007-10-18 14:10:00","2007-07-11 18:54:00"
25063,"C in a nutshell","2007-11-04 13:46:00","2007-10-19 12:14:00"
25063,"C in a nutshell","2008-01-04 12:28:00","2007-10-19 12:14:00"
25063,"C in a nutshell","2008-01-17 19:10:00","2008-01-07 14:15:00"
25063,"C in a nutshell","2008-02-04 10:52:00","2008-01-07 14:15:00"
25063,"C in a nutshell","2008-02-23 11:04:00","2008-02-06 12:54:00"
25063,"C in a nutshell","2008-05-10 14:39:00","2008-02-06 12:54:00"
25063,"C in a nutshell","2008-05-12 11:41:00","2008-02-06 12:54:00"
25063,"C in a nutshell","2008-07-09 14:52:00","2008-05-12 16:44:00"
25063,"C in a nutshell","2008-09-27 12:58:00","2008-09-13 18:00:00"
25063,"C in a nutshell","2008-11-25 15:05:00","2008-11-15 17:47:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-01-12 17:34:00","2005-12-27 15:54:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-01-14 15:08:00","2005-12-27 15:54:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-01-24 14:58:00","2006-01-17 16:12:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-02-01 19:29:00","2006-02-01 17:35:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-02-06 17:19:00","2006-02-01 17:35:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-03-17 12:58:00","2006-02-07 18:26:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-03-22 14:46:00","2006-02-07 18:26:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-04-25 12:49:00","2006-03-22 18:54:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-04-26 11:34:00","2006-03-22 18:54:00"
43871,"Programming Ruby the pragmatic programmers guide","2006-05-05 17:38:00","2006-04-27 16:04:00"
46913,"Java for dummies","2006-01-06 12:09:00","2005-11-09 15:22:00"
46913,"Java for dummies","2006-01-28 16:34:00","2006-01-08 16:48:00"
46913,"Java for dummies","2006-02-01 11:20:00","2006-01-08 16:48:00"
46913,"Java for dummies","2006-02-22 18:22:00","2006-02-03 14:53:00"
46913,"Java for dummies","2006-06-17 12:02:00","2006-04-29 12:31:00"
46913,"Java for dummies","2006-07-25 12:02:00","2006-07-17 19:38:00"
46913,"Java for dummies","2006-09-21 16:17:00","2006-07-17 19:38:00"
46913,"Java for dummies","2006-10-28 13:55:00","2006-09-22 12:13:00"
46913,"Java for dummies","2007-12-28 10:52:00","2007-02-13 18:45:00"
46913,"Java for dummies","2008-03-20 10:20:00","2008-02-23 15:33:00"
47309,"Complete Turbo C","2006-10-16 18:24:00","2003-11-02 00:00:00"
47309,"Complete Turbo C","2009-10-14 18:32:00","2009-09-22 19:22:00"
47309,"Complete Turbo C","2011-04-13 12:32:00","2011-04-11 13:13:00"
47309,"Complete Turbo C","2012-08-20 15:14:00","2012-06-14 15:09:00"
47309,"Complete Turbo C","2013-10-26 15:47:00","2013-10-14 18:58:00"
74941,Eclipse,"2012-04-30 19:40:00","2012-04-03 12:58:00"
74941,Eclipse,"2012-06-28 19:03:00","2012-05-04 17:34:00"
74941,Eclipse,"2012-10-20 12:51:00","2012-10-01 19:49:00"
74941,Eclipse,"2012-11-20 17:08:00","2012-10-24 17:28:00"
74941,Eclipse,"2013-01-05 17:24:00","2012-12-08 13:43:00"
74941,Eclipse,"2013-03-27 12:51:00","2013-01-19 13:00:00"
74941,Eclipse,"2013-04-22 14:39:00","2013-04-09 13:37:00"
74941,Eclipse,"2009-03-03 16:20:00","2008-12-05 16:03:00"
74941,Eclipse,"2009-03-30 19:19:00","2009-03-07 11:21:00"
74941,Eclipse,"2009-05-12 18:34:00","2009-04-08 17:28:00"
74941,Eclipse,"2009-05-14 11:27:00","2009-04-08 17:28:00"
74941,Eclipse,"2009-06-06 16:13:00","2009-05-16 17:30:00"
74941,Eclipse,"2009-07-01 17:49:00","2009-06-10 14:39:00"
74941,Eclipse,"2009-07-06 19:47:00","2009-06-10 14:39:00"
74941,Eclipse,"2009-07-07 12:15:00","2009-06-10 14:39:00"
74941,Eclipse,"2009-08-22 17:28:00","2009-07-09 15:40:00"
74941,Eclipse,"2009-08-24 20:13:00","2009-07-09 15:40:00"
74941,Eclipse,"2009-08-25 19:10:00","2009-07-09 15:40:00"
74941,Eclipse,"2009-10-10 09:46:00","2009-08-28 16:14:00"
74941,Eclipse,"2010-02-16 19:00:00","2009-10-25 17:39:00"
74941,Eclipse,"2010-03-29 11:35:00","2010-02-19 14:35:00"
74941,Eclipse,"2007-07-28 17:06:00","2007-06-12 13:02:00"
74941,Eclipse,"2007-08-02 11:40:00","2007-06-12 13:02:00"
74941,Eclipse,"2007-09-21 17:13:00","2007-08-04 13:56:00"
74941,Eclipse,"2007-10-18 13:25:00","2007-10-01 16:37:00"
74941,Eclipse,"2007-12-13 17:09:00","2007-11-14 12:57:00"
74941,Eclipse,"2007-12-14 11:10:00","2007-11-14 12:57:00"
74941,Eclipse,"2008-01-05 14:48:00","2007-12-15 15:07:00"
74941,Eclipse,"2008-01-09 12:27:00","2007-12-15 15:07:00"
74941,Eclipse,"2008-01-19 13:20:00","2008-01-09 17:37:00"
74941,Eclipse,"2008-02-25 15:08:00","2008-02-04 17:29:00"
74941,Eclipse,"2008-07-11 12:55:00","2008-03-29 17:46:00"
74941,Eclipse,"2008-11-21 13:21:00","2008-10-16 15:30:00"
74941,Eclipse,"2006-01-30 12:31:00","2005-12-28 10:56:00"
74941,Eclipse,"2006-02-28 19:18:00","2006-01-31 19:19:00"
74941,Eclipse,"2006-03-08 12:44:00","2006-01-31 19:19:00"
74941,Eclipse,"2006-03-20 10:53:00","2006-01-31 19:19:00"
74941,Eclipse,"2006-04-15 12:27:00","2006-03-22 16:10:00"
74941,Eclipse,"2006-05-08 18:16:00","2006-04-18 18:20:00"
74941,Eclipse,"2006-06-10 12:58:00","2006-05-11 19:55:00"
74941,Eclipse,"2006-07-03 18:37:00","2006-06-13 19:53:00"
74941,Eclipse,"2006-07-05 17:50:00","2006-06-13 19:53:00"
74941,Eclipse,"2006-08-03 14:49:00","2006-07-08 17:49:00"
74941,Eclipse,"2006-08-23 11:27:00","2006-08-07 19:55:00"
74941,Eclipse,"2006-10-18 16:26:00","2006-08-29 14:42:00"
74941,Eclipse,"2006-10-23 13:33:00","2006-08-29 14:42:00"
74941,Eclipse,"2006-12-14 16:28:00","2006-10-23 14:54:00"
74941,Eclipse,"2006-12-18 11:55:00","2006-10-23 14:54:00"
74941,Eclipse,"2007-01-24 17:02:00","2006-12-20 16:52:00"
74941,Eclipse,"2007-02-20 17:22:00","2007-01-31 17:46:00"
74941,Eclipse,"2007-03-01 11:53:00","2007-01-31 17:46:00"
74941,Eclipse,"2007-03-05 22:00:00","2007-01-31 17:46:00"
74941,Eclipse,"2007-03-06 18:07:00","2007-01-31 17:46:00"
74941,Eclipse,"2007-04-05 18:36:00","2007-03-14 17:31:00"
74941,Eclipse,"2007-04-06 13:45:00","2007-03-14 17:31:00"
74941,Eclipse,"2007-04-18 23:10:00","2007-03-14 17:31:00"
74941,Eclipse,"2007-04-19 12:15:00","2007-03-14 17:31:00"
74941,Eclipse,"2007-05-11 14:06:00","2007-04-20 11:53:00"
74941,Eclipse,"2007-05-16 09:24:00","2007-04-20 11:53:00"
74941,Eclipse,"2010-05-10 14:23:00","2010-02-19 14:35:00"
74941,Eclipse,"2010-05-24 18:20:00","2010-05-10 16:52:00"
74941,Eclipse,"2010-07-23 10:08:00","2010-05-10 16:52:00"
74941,Eclipse,"2010-08-09 18:36:00","2010-07-26 19:34:00"
74941,Eclipse,"2010-09-30 14:45:00","2010-08-22 16:40:00"
74941,Eclipse,"2010-11-27 13:46:00","2010-11-20 15:02:00"
74941,Eclipse,"2010-12-29 13:13:00","2010-11-20 15:02:00"
74941,Eclipse,"2011-01-29 12:26:00","2010-12-29 16:19:00"
74941,Eclipse,"2011-03-20 22:14:00","2011-02-27 16:20:00"
74941,Eclipse,"2011-03-22 14:55:00","2011-02-27 16:20:00"
74941,Eclipse,"2011-04-09 14:53:00","2011-03-30 17:42:00"
74941,Eclipse,"2011-08-02 14:19:00","2011-07-12 14:47:00"
74941,Eclipse,"2011-08-03 11:18:00","2011-07-12 14:47:00"
74941,Eclipse,"2011-09-20 15:52:00","2011-08-09 15:19:00"
74941,Eclipse,"2011-12-07 13:35:00","2011-11-03 16:53:00"
74941,Eclipse,"2012-02-09 18:20:00","2011-12-26 15:13:00"
75108,Eclipse,"2010-04-01 13:37:00","2010-02-19 10:57:00"
75108,Eclipse,"2010-04-02 11:07:00","2010-02-19 10:57:00"
75108,Eclipse,"2010-06-22 17:09:00","2010-06-05 10:35:00"
75108,Eclipse,"2007-07-27 12:18:00","2007-06-02 11:44:00"
75108,Eclipse,"2007-09-11 14:20:00","2007-08-01 18:04:00"
75108,Eclipse,"2007-09-27 12:31:00","2007-09-12 12:00:00"
75108,Eclipse,"2007-10-12 18:47:00","2007-09-12 12:00:00"
75108,Eclipse,"2007-10-16 12:21:00","2007-09-12 12:00:00"
75108,Eclipse,"2008-04-04 12:48:00","2008-03-21 10:24:00"
75108,Eclipse,"2008-06-18 11:51:00","2008-04-19 17:20:00"
75108,Eclipse,"2008-07-25 12:34:00","2008-06-19 18:20:00"
75108,Eclipse,"2008-08-05 15:38:00","2008-07-25 17:52:00"
75108,Eclipse,"2008-09-04 19:39:00","2008-08-30 11:24:00"
75108,Eclipse,"2009-02-22 14:18:00","2008-12-29 17:42:00"
75108,Eclipse,"2009-02-28 11:15:00","2008-12-29 17:42:00"
75108,Eclipse,"2009-03-02 12:57:00","2008-12-29 17:42:00"
75108,Eclipse,"2009-03-15 14:12:00","2009-03-03 16:34:00"
75108,Eclipse,"2009-03-17 15:04:00","2009-03-03 16:34:00"
75108,Eclipse,"2009-03-18 15:58:00","2009-03-03 16:34:00"
75108,Eclipse,"2009-04-13 18:52:00","2009-04-11 16:39:00"
75108,Eclipse,"2009-06-18 14:48:00","2009-05-23 13:33:00"
75108,Eclipse,"2009-07-31 13:14:00","2009-07-06 13:23:00"
75108,Eclipse,"2009-10-05 17:58:00","2009-08-03 14:30:00"
75108,Eclipse,"2009-11-15 16:17:00","2009-10-10 12:15:00"
75108,Eclipse,"2009-12-09 16:07:00","2009-11-18 18:07:00"
75108,Eclipse,"2009-12-10 18:54:00","2009-11-18 18:07:00"
75108,Eclipse,"2009-12-16 11:32:00","2009-12-13 12:25:00"
75108,Eclipse,"2009-12-17 11:50:00","2009-12-13 12:25:00"
75108,Eclipse,"2009-12-26 13:56:00","2009-12-17 15:47:00"
75108,Eclipse,"2010-02-11 16:46:00","2010-01-17 15:41:00"
75108,Eclipse,"2010-02-14 22:10:00","2010-01-17 15:41:00"
75108,Eclipse,"2010-02-16 11:43:00","2010-01-17 15:41:00"
75108,Eclipse,"2010-02-23 19:54:00","2010-02-19 10:57:00"
75108,Eclipse,"2006-01-03 09:26:00","2005-11-18 10:21:00"
75108,Eclipse,"2006-01-13 11:27:00","2005-11-18 10:21:00"
75108,Eclipse,"2006-02-16 16:49:00","2006-01-23 19:08:00"
75108,Eclipse,"2006-02-21 14:28:00","2006-01-23 19:08:00"
75108,Eclipse,"2006-03-14 19:30:00","2006-02-22 17:20:00"
75108,Eclipse,"2006-03-16 10:41:00","2006-02-22 17:20:00"
75108,Eclipse,"2006-03-17 10:27:00","2006-02-22 17:20:00"
75108,Eclipse,"2006-04-07 17:34:00","2006-03-17 14:04:00"
75108,Eclipse,"2006-04-11 12:56:00","2006-03-17 14:04:00"
75108,Eclipse,"2006-04-12 10:29:00","2006-03-17 14:04:00"
75108,Eclipse,"2006-05-05 14:01:00","2006-04-13 14:30:00"
75108,Eclipse,"2006-06-05 17:54:00","2006-05-12 17:31:00"
75108,Eclipse,"2006-06-07 13:27:00","2006-05-12 17:31:00"
75108,Eclipse,"2006-06-25 14:06:00","2006-06-09 17:37:00"
75108,Eclipse,"2006-06-27 18:58:00","2006-06-09 17:37:00"
75108,Eclipse,"2006-06-28 12:56:00","2006-06-09 17:37:00"
75108,Eclipse,"2006-07-09 21:17:00","2006-06-09 17:37:00"
75108,Eclipse,"2006-08-21 11:48:00","2006-07-19 17:44:00"
75108,Eclipse,"2006-08-22 18:12:00","2006-07-19 17:44:00"
75108,Eclipse,"2006-09-12 16:02:00","2006-08-23 19:17:00"
75108,Eclipse,"2006-09-15 11:28:00","2006-08-23 19:17:00"
75108,Eclipse,"2006-09-19 14:27:00","2006-09-15 12:47:00"
75108,Eclipse,"2006-10-09 16:01:00","2006-09-15 12:47:00"
75108,Eclipse,"2006-12-05 19:59:00","2006-10-14 17:35:00"
75108,Eclipse,"2006-12-06 10:33:00","2006-10-14 17:35:00"
75108,Eclipse,"2007-05-27 12:37:00","2007-02-21 18:12:00"
75108,Eclipse,"2007-05-29 13:23:00","2007-02-21 18:12:00"
76574,"Visual Basic Net tips techniques","2006-03-16 18:52:00","2006-02-22 17:48:00"
76574,"Visual Basic Net tips techniques","2006-03-16 19:02:00","2006-02-22 17:48:00"
76574,"Visual Basic Net tips techniques","2006-03-17 11:06:00","2006-02-22 17:48:00"
76574,"Visual Basic Net tips techniques","2006-03-25 11:40:00","2006-03-18 14:04:00"
76574,"Visual Basic Net tips techniques","2006-06-12 17:11:00","2006-04-10 19:04:00"
76574,"Visual Basic Net tips techniques","2006-10-02 16:42:00","2006-07-27 10:55:00"
76574,"Visual Basic Net tips techniques","2007-01-21 16:22:00","2006-12-29 14:03:00"
76574,"Visual Basic Net tips techniques","2007-03-18 17:18:00","2007-02-03 14:15:00"
76574,"Visual Basic Net tips techniques","2007-05-23 15:12:00","2007-02-03 14:15:00"
76574,"Visual Basic Net tips techniques","2007-06-08 16:39:00","2007-05-23 16:41:00"
76574,"Visual Basic Net tips techniques","2008-09-08 11:55:00","2008-08-14 15:09:00"
76574,"Visual Basic Net tips techniques","2008-12-08 14:55:00","2008-11-19 16:29:00"
76574,"Visual Basic Net tips techniques","2009-06-02 19:52:00","2009-04-22 18:35:00"
76574,"Visual Basic Net tips techniques","2009-06-22 14:36:00","2009-04-22 18:35:00"
76574,"Visual Basic Net tips techniques","2009-07-28 18:33:00","2009-07-01 19:06:00"
76574,"Visual Basic Net tips techniques","2009-12-11 14:27:00","2009-12-10 19:49:00"
78881,"C for dummies","2006-01-06 12:29:00","2005-12-14 14:57:00"
78881,"C for dummies","2006-01-12 17:38:00","2005-12-14 14:57:00"
78881,"C for dummies","2006-03-09 18:20:00","2006-01-17 16:51:00"
78881,"C for dummies","2006-03-15 15:47:00","2006-01-17 16:51:00"
78881,"C for dummies","2006-03-24 16:38:00","2006-03-16 12:20:00"
79053,"C for dummies","2006-02-04 17:51:00","2005-12-28 15:47:00"
79053,"C for dummies","2006-03-18 12:26:00","2006-02-10 11:07:00"
79053,"C for dummies","2006-04-13 10:08:00","2006-02-10 11:07:00"
79053,"C for dummies","2006-05-23 17:54:00","2006-04-14 14:29:00"
79053,"C for dummies","2006-05-24 11:27:00","2006-04-14 14:29:00"
79053,"C for dummies","2006-06-17 16:06:00","2006-05-26 17:30:00"
79053,"C for dummies","2006-06-30 10:55:00","2006-05-26 17:30:00"
79053,"C for dummies","2006-08-28 15:49:00","2006-07-06 14:44:00"
79053,"C for dummies","2006-10-09 18:43:00","2006-07-06 14:44:00"
79053,"C for dummies","2006-12-13 18:30:00","2006-10-14 14:32:00"
79053,"C for dummies","2007-01-20 17:24:00","2007-01-04 11:05:00"
79053,"C for dummies","2007-02-21 19:02:00","2007-01-27 11:54:00"
79053,"C for dummies","2007-03-23 12:31:00","2007-01-27 11:54:00"
79053,"C for dummies","2007-04-14 15:34:00","2007-03-26 16:50:00"
79053,"C for dummies","2007-04-17 17:52:00","2007-03-26 16:50:00"
79053,"C for dummies","2007-04-18 10:20:00","2007-03-26 16:50:00"
79053,"C for dummies","2007-05-15 18:30:00","2007-04-20 11:48:00"
79053,"C for dummies","2007-07-11 23:49:00","2007-05-26 15:24:00"
79053,"C for dummies","2007-07-13 10:35:00","2007-05-26 15:24:00"
79053,"C for dummies","2007-07-30 19:08:00","2007-07-17 18:03:00"
79053,"C for dummies","2007-08-16 22:57:00","2007-07-17 18:03:00"
79053,"C for dummies","2007-08-17 10:37:00","2007-07-17 18:03:00"
79053,"C for dummies","2007-08-18 16:03:00","2007-08-17 15:21:00"
79053,"C for dummies","2007-09-21 16:34:00","2007-08-17 15:21:00"
79053,"C for dummies","2007-09-24 12:05:00","2007-08-17 15:21:00"
79053,"C for dummies","2007-09-29 15:22:00","2007-09-27 14:02:00"
79053,"C for dummies","2007-10-16 10:22:00","2007-09-27 14:02:00"
79053,"C for dummies","2007-11-28 12:34:00","2007-09-27 14:02:00"
79053,"C for dummies","2008-01-16 15:57:00","2007-12-04 13:39:00"
79118,"C for dummies","2006-01-25 15:22:00","2005-10-22 16:33:00"
79118,"C for dummies","2006-04-22 12:55:00","2006-02-16 17:47:00"
79118,"C for dummies","2006-04-24 15:34:00","2006-02-16 17:47:00"
79118,"C for dummies","2006-06-03 17:56:00","2006-04-29 15:22:00"
79118,"C for dummies","2006-07-20 15:42:00","2006-06-08 17:38:00"
79118,"C for dummies","2006-07-24 15:18:00","2006-06-08 17:38:00"
79118,"C for dummies","2006-09-23 12:03:00","2006-07-25 14:49:00"
79180,"C for dummies","2006-02-22 17:14:00","2006-01-04 11:46:00"
79180,"C for dummies","2006-03-18 15:51:00","2006-02-24 16:36:00"
79180,"C for dummies","2006-03-21 14:40:00","2006-02-24 16:36:00"
79180,"C for dummies","2006-05-24 10:52:00","2006-04-14 15:19:00"
79180,"C for dummies","2006-05-26 23:18:00","2006-04-14 15:19:00"
79180,"C for dummies","2006-05-30 12:36:00","2006-04-14 15:19:00"
79180,"C for dummies","2006-08-01 10:36:00","2006-06-06 15:07:00"
79180,"C for dummies","2006-08-02 18:36:00","2006-06-06 15:07:00"
79180,"C for dummies","2006-09-27 13:07:00","2006-08-09 12:39:00"
79180,"C for dummies","2006-10-09 14:31:00","2006-08-09 12:39:00"
79180,"C for dummies","2006-10-10 15:13:00","2006-08-09 12:39:00"
79180,"C for dummies","2006-11-01 19:08:00","2006-10-14 14:15:00"
79180,"C for dummies","2006-11-24 12:34:00","2006-11-24 11:38:00"
79180,"C for dummies","2006-12-26 16:41:00","2006-11-26 12:36:00"
79180,"C for dummies","2007-04-13 15:21:00","2007-03-24 14:03:00"
79180,"C for dummies","2007-05-14 18:26:00","2007-03-24 14:03:00"
79180,"C for dummies","2007-07-11 15:38:00","2007-06-26 13:37:00"
79180,"C for dummies","2007-07-30 15:00:00","2007-07-13 14:22:00"
79248,"C for dummies","2007-07-30 19:41:00","2007-06-05 19:54:00"
79248,"C for dummies","2007-09-20 15:23:00","2007-08-22 11:17:00"
79248,"C for dummies","2007-10-02 18:50:00","2007-08-22 11:17:00"
79248,"C for dummies","2007-10-29 15:24:00","2007-10-05 16:48:00"
79248,"C for dummies","2007-11-20 15:21:00","2007-10-29 15:26:00"
79248,"C for dummies","2006-04-03 10:20:00","2006-03-17 12:09:00"
79248,"C for dummies","2006-04-24 16:35:00","2006-04-04 16:52:00"
79248,"C for dummies","2006-09-21 13:23:00","2006-08-22 13:53:00"
79248,"C for dummies","2006-10-25 22:17:00","2006-10-07 13:59:00"
79248,"C for dummies","2006-10-26 11:15:00","2006-10-07 13:59:00"
79248,"C for dummies","2006-12-31 12:13:00","2006-12-11 15:39:00"
79248,"C for dummies","2007-01-20 21:44:00","2006-12-11 15:39:00"
79248,"C for dummies","2007-05-16 16:38:00","2007-04-02 17:35:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-01-27 11:13:00","2006-01-03 15:42:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-01-31 09:39:00","2006-01-03 15:42:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-05-26 13:58:00","2006-05-03 13:57:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-05-30 12:25:00","2006-05-03 13:57:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-06-20 18:31:00","2006-06-03 15:38:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-06-29 12:05:00","2006-06-03 15:38:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-08-06 12:40:00","2006-07-03 15:31:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-08-08 18:02:00","2006-07-03 15:31:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-08-09 11:41:00","2006-07-03 15:31:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-08-22 18:51:00","2006-08-09 18:59:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-08-29 12:21:00","2006-08-09 18:59:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-09-22 15:30:00","2006-09-01 16:43:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-09-25 16:28:00","2006-09-01 16:43:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-10-02 15:44:00","2006-10-02 15:29:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2006-10-04 16:05:00","2006-10-02 15:29:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-02-23 12:42:00","2006-12-29 17:28:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-03-05 18:26:00","2006-12-29 17:28:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-03-29 19:24:00","2007-03-08 17:12:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-05-15 11:32:00","2007-04-25 18:46:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-05-21 18:20:00","2007-04-25 18:46:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-06-14 18:19:00","2007-05-24 18:51:00"
88645,"Effective STL 50 specific ways to improve your use of the standard template library","2007-08-13 18:02:00","2007-06-27 18:39:00"
88721,"Effective STL 50 specific ways to improve your use of the standard template library","2007-07-27 13:39:00","2007-04-20 16:43:00"
88721,"Effective STL 50 specific ways to improve your use of the standard template library","2007-09-11 17:43:00","2007-07-28 10:03:00"
88721,"Effective STL 50 specific ways to improve your use of the standard template library","2007-10-08 19:21:00","2007-09-17 19:29:00"
88721,"Effective STL 50 specific ways to improve your use of the standard template library","2007-10-09 13:31:00","2007-09-17 19:29:00"
