itemNumber,title,cout,cin
165672,"Content delivery networks web switching for security availability and speed","2006-02-01 18:39:00","2006-03-29 19:53:00"
165672,"Content delivery networks web switching for security availability and speed","2007-08-13 13:23:00","2007-09-18 12:18:00"
165672,"Content delivery networks web switching for security availability and speed","2007-10-20 15:20:00","2007-11-21 16:22:00"
165672,"Content delivery networks web switching for security availability and speed","2008-11-07 12:16:00","2008-11-07 12:17:00"
165672,"Content delivery networks web switching for security availability and speed","2010-07-03 13:07:00","2010-07-24 16:14:00"
165672,"Content delivery networks web switching for security availability and speed","2010-10-27 11:31:00","2010-10-28 14:22:00"
165672,"Content delivery networks web switching for security availability and speed","2011-01-05 13:38:00","2011-02-10 14:53:00"
165672,"Content delivery networks web switching for security availability and speed","2011-04-05 19:17:00","2011-05-31 16:39:00"
284403,"Building a UNIX Internet server","2008-05-14 11:41:00","2008-07-18 00:00:00"
300821,"Networking A to Z","2006-04-15 13:14:00","2006-05-08 15:24:00"
300821,"Networking A to Z","2006-10-14 17:32:00","2006-10-21 15:45:00"
300821,"Networking A to Z","2007-09-30 16:57:00","2007-10-14 16:48:00"
300821,"Networking A to Z","2009-03-31 09:33:00","2009-03-31 12:24:00"
300821,"Networking A to Z","2009-04-24 14:08:00","2009-06-23 13:20:00"
300821,"Networking A to Z","2009-04-24 14:08:00","2009-10-05 14:04:00"
300821,"Networking A to Z","2009-10-07 17:37:00","2009-11-03 19:05:00"
300821,"Networking A to Z","2009-12-30 11:46:00","2010-02-21 12:38:00"
300821,"Networking A to Z","2010-05-23 13:36:00","2010-07-15 18:57:00"
300821,"Networking A to Z","2010-09-17 15:34:00","2010-09-18 10:24:00"
300821,"Networking A to Z","2010-10-07 16:14:00","2010-11-30 11:50:00"
300821,"Networking A to Z","2011-01-05 17:56:00","2011-02-16 16:41:00"
300821,"Networking A to Z","2011-08-08 15:54:00","2011-08-09 13:15:00"
300821,"Networking A to Z","2011-10-25 15:30:00","2011-10-26 18:20:00"
300821,"Networking A to Z","2012-12-04 15:46:00","2013-01-10 18:08:00"
300905,"Networking A to Z","2006-02-04 10:33:00","2006-03-16 12:23:00"
300905,"Networking A to Z","2006-03-18 15:38:00","2006-04-03 16:17:00"
300905,"Networking A to Z","2006-05-13 17:42:00","2006-06-01 14:54:00"
300905,"Networking A to Z","2006-09-30 15:58:00","2006-10-18 12:39:00"
300905,"Networking A to Z","2006-10-19 11:51:00","2006-12-19 12:14:00"
300905,"Networking A to Z","2007-02-04 16:51:00","2007-02-18 15:42:00"
300905,"Networking A to Z","2007-08-20 16:02:00","2007-08-20 16:16:00"
300905,"Networking A to Z","2007-09-13 14:24:00","2007-10-02 14:49:00"
301053,"Networking A to Z","2005-06-15 11:45:00","2006-02-16 13:30:00"
301053,"Networking A to Z","2006-02-18 17:54:00","2006-03-20 15:01:00"
301053,"Networking A to Z","2006-03-21 13:57:00","2006-05-22 10:19:00"
301053,"Networking A to Z","2006-07-21 15:15:00","2006-08-16 13:30:00"
301053,"Networking A to Z","2006-09-03 17:39:00","2006-09-22 17:01:00"
301053,"Networking A to Z","2006-10-08 16:52:00","2006-10-28 11:58:00"
301053,"Networking A to Z","2007-01-08 19:34:00","2007-03-08 14:34:00"
301053,"Networking A to Z","2007-05-25 14:52:00","2007-07-29 00:00:00"
301053,"Networking A to Z","2009-01-06 16:12:00","2009-02-12 10:45:00"
301053,"Networking A to Z","2010-01-08 14:00:00","2010-03-09 14:55:00"
301053,"Networking A to Z","2010-07-12 14:00:00","2010-08-01 15:01:00"
301053,"Networking A to Z","2013-01-04 13:25:00","2013-01-23 17:02:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2006-02-13 18:10:00","2006-03-17 17:11:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2006-04-10 16:15:00","2006-05-22 14:31:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2006-07-27 16:11:00","2006-09-07 15:31:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2006-09-08 16:18:00","2006-09-26 18:12:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2007-04-23 17:47:00","2007-05-26 13:47:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2007-04-23 17:47:00","2007-07-24 09:29:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2007-07-24 14:58:00","2007-09-05 16:27:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2007-07-24 14:58:00","2008-01-28 18:26:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2008-01-30 16:56:00","2008-01-30 18:59:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2008-01-30 16:56:00","2008-02-04 15:21:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2008-08-07 19:21:00","2009-03-28 13:03:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2009-04-03 14:04:00","2009-04-09 10:35:00"
316820,"Internetworking with TCP IP principles protocols and architecture","2009-04-24 14:07:00","2009-06-08 12:51:00"
326357,"real peoples guide to basic software","2006-01-12 17:09:00","2006-02-09 11:30:00"
326357,"real peoples guide to basic software","2006-02-11 15:29:00","2006-04-03 12:16:00"
328527,"real peoples guide to basic software","2005-12-19 13:29:00","2006-01-25 15:53:00"
328527,"real peoples guide to basic software","2006-04-06 17:56:00","2006-04-10 18:09:00"
466847,"Handbook of data communications and computer networks","2006-02-28 14:30:00","2006-03-22 16:37:00"
466847,"Handbook of data communications and computer networks","2008-07-17 16:59:00","2008-07-23 15:32:00"
466847,"Handbook of data communications and computer networks","2009-01-20 14:26:00","2009-02-23 15:57:00"
466847,"Handbook of data communications and computer networks","2009-05-30 15:57:00","2009-06-12 14:23:00"
467338,"network troubleshooting handbook","2005-01-07 00:00:00","2006-10-18 14:49:00"
467338,"network troubleshooting handbook","2006-10-19 13:05:00","2006-11-08 15:25:00"
467338,"network troubleshooting handbook","2006-10-19 13:05:00","2006-11-27 12:02:00"
467338,"network troubleshooting handbook","2007-06-27 17:37:00","2007-08-04 16:04:00"
467338,"network troubleshooting handbook","2007-11-21 17:27:00","2008-04-23 12:43:00"
467338,"network troubleshooting handbook","2008-04-24 15:25:00","2008-04-30 18:32:00"
467338,"network troubleshooting handbook","2008-07-08 18:31:00","2008-07-19 17:31:00"
501619,"Windows 2000 TCP IP black book","2005-12-29 14:28:00","2006-01-24 17:35:00"
501619,"Windows 2000 TCP IP black book","2006-09-19 19:03:00","2006-10-10 19:27:00"
501619,"Windows 2000 TCP IP black book","2007-01-31 13:09:00","2007-02-17 15:33:00"
501619,"Windows 2000 TCP IP black book","2007-02-18 15:44:00","2007-03-06 13:58:00"
501619,"Windows 2000 TCP IP black book","2007-04-26 15:12:00","2007-05-05 15:18:00"
501619,"Windows 2000 TCP IP black book","2007-04-26 15:12:00","2008-10-21 18:18:00"
501619,"Windows 2000 TCP IP black book","2007-04-26 15:12:00","2008-10-22 12:15:00"
501619,"Windows 2000 TCP IP black book","2007-04-26 15:12:00","2009-05-18 15:46:00"
501619,"Windows 2000 TCP IP black book","2009-05-24 16:42:00","2009-06-11 18:50:00"
501619,"Windows 2000 TCP IP black book","2009-10-04 15:12:00","2009-10-28 17:06:00"
506222,"Networking complete","2006-08-27 15:50:00","2006-09-22 17:01:00"
506222,"Networking complete","2006-08-27 15:50:00","2006-10-18 14:56:00"
516898,"Troubleshooting IP routing protocols","2005-12-30 16:56:00","2006-01-28 15:19:00"
516898,"Troubleshooting IP routing protocols","2006-01-30 15:37:00","2006-03-13 11:21:00"
516898,"Troubleshooting IP routing protocols","2006-01-30 15:37:00","2006-03-30 16:53:00"
516898,"Troubleshooting IP routing protocols","2007-04-22 12:49:00","2007-07-07 14:26:00"
516898,"Troubleshooting IP routing protocols","2007-04-22 12:49:00","2007-07-24 09:19:00"
516898,"Troubleshooting IP routing protocols","2007-07-28 15:38:00","2007-08-13 15:04:00"
516898,"Troubleshooting IP routing protocols","2007-07-28 15:38:00","2007-08-20 13:59:00"
516898,"Troubleshooting IP routing protocols","2007-08-28 19:10:00","2007-10-10 15:13:00"
516898,"Troubleshooting IP routing protocols","2007-10-20 15:20:00","2007-11-21 16:23:00"
516898,"Troubleshooting IP routing protocols","2007-10-20 15:20:00","2007-12-28 10:31:00"
516898,"Troubleshooting IP routing protocols","2008-05-15 18:08:00","2008-05-15 18:18:00"
516898,"Troubleshooting IP routing protocols","2008-05-15 18:08:00","2009-08-28 12:23:00"
516898,"Troubleshooting IP routing protocols","2009-11-09 14:10:00","2009-11-23 17:42:00"
516898,"Troubleshooting IP routing protocols","2009-11-09 14:10:00","2009-12-21 13:01:00"
516898,"Troubleshooting IP routing protocols","2009-12-23 10:58:00","2010-01-04 15:16:00"
516898,"Troubleshooting IP routing protocols","2010-09-15 11:51:00","2010-11-03 14:39:00"
516898,"Troubleshooting IP routing protocols","2011-03-24 15:07:00","2011-03-24 15:51:00"
516898,"Troubleshooting IP routing protocols","2011-06-03 13:57:00","2011-06-06 16:12:00"
516898,"Troubleshooting IP routing protocols","2011-08-06 13:11:00","2011-08-07 12:43:00"
516898,"Troubleshooting IP routing protocols","2011-10-09 13:48:00","2011-10-29 14:00:00"
516898,"Troubleshooting IP routing protocols","2011-12-13 10:34:00","2011-12-23 13:37:00"
529087,"Cisco switching black book","2006-02-13 16:50:00","2006-02-23 12:59:00"
529087,"Cisco switching black book","2006-08-28 12:46:00","2006-10-16 10:30:00"
529087,"Cisco switching black book","2006-11-07 12:28:00","2006-11-28 17:34:00"
529087,"Cisco switching black book","2007-11-29 15:29:00","2007-12-20 16:30:00"
529087,"Cisco switching black book","2008-07-06 16:56:00","2008-09-10 18:28:00"
529087,"Cisco switching black book","2008-09-30 19:06:00","2008-12-15 19:12:00"
529319,"Cisco switching black book","2006-05-13 13:34:00","2006-07-03 10:30:00"
529319,"Cisco switching black book","2007-02-08 19:11:00","2007-03-06 19:27:00"
529319,"Cisco switching black book","2007-03-06 19:33:00","2007-06-16 00:00:00"
529319,"Cisco switching black book","2007-03-06 19:33:00","2007-06-25 13:58:00"
529319,"Cisco switching black book","2007-03-06 19:33:00","2007-08-28 11:39:00"
529319,"Cisco switching black book","2008-12-12 17:17:00","2008-12-16 17:15:00"
540543,"Cyberspeak an online dictionary","2006-02-25 17:58:00","2006-04-29 17:25:00"
540543,"Cyberspeak an online dictionary","2006-04-29 17:29:00","2006-07-01 17:05:00"
540543,"Cyberspeak an online dictionary","2006-04-29 17:29:00","2006-07-05 14:43:00"
540543,"Cyberspeak an online dictionary","2006-04-29 17:29:00","2006-07-06 11:23:00"
540543,"Cyberspeak an online dictionary","2006-07-13 11:09:00","2006-08-02 12:12:00"
540543,"Cyberspeak an online dictionary","2006-07-13 11:09:00","2006-08-11 19:46:00"
540543,"Cyberspeak an online dictionary","2006-07-13 11:09:00","2006-08-15 16:01:00"
540543,"Cyberspeak an online dictionary","2006-08-19 17:44:00","2006-09-30 17:21:00"
540543,"Cyberspeak an online dictionary","2006-08-19 17:44:00","2006-10-05 17:48:00"
540543,"Cyberspeak an online dictionary","2007-04-03 16:08:00","2007-04-06 16:45:00"
540543,"Cyberspeak an online dictionary","2009-06-17 11:05:00","2009-06-17 12:06:00"
540543,"Cyberspeak an online dictionary","2009-08-19 14:59:00","2009-09-08 19:36:00"
540543,"Cyberspeak an online dictionary","2012-08-03 12:34:00","2012-09-04 10:44:00"
552471,"Internet book everything you need to know about computer networking and how the Internet works","2004-11-04 00:00:00","2008-01-09 16:39:00"
552471,"Internet book everything you need to know about computer networking and how the Internet works","2004-11-04 00:00:00","2008-01-24 11:17:00"
552471,"Internet book everything you need to know about computer networking and how the Internet works","2008-01-31 19:54:00","2008-02-27 17:27:00"
552471,"Internet book everything you need to know about computer networking and how the Internet works","2008-01-31 19:54:00","2008-08-05 15:10:00"
552471,"Internet book everything you need to know about computer networking and how the Internet works","2008-08-06 12:43:00","2008-08-09 14:48:00"
592539,"Frame relay internetworking","2006-08-18 17:12:00","2006-12-26 12:12:00"
592539,"Frame relay internetworking","2009-05-20 18:05:00","2009-05-29 14:29:00"
606712,"Building intranets with Lotus Notes Domino 5 0","2005-04-28 11:57:00","2006-10-03 09:40:00"
606950,"Building intranets with Lotus Notes Domino 5 0","2005-03-12 12:49:00","2006-10-20 20:18:00"
606950,"Building intranets with Lotus Notes Domino 5 0","2005-03-12 12:49:00","2006-10-24 16:11:00"
606950,"Building intranets with Lotus Notes Domino 5 0","2006-10-27 13:07:00","2006-11-18 14:26:00"
624413,"All thumbs guide to home computers","2006-02-03 17:55:00","2006-02-22 12:55:00"
683511,"Building a virtual private network","2007-11-07 15:33:00","2007-12-27 13:46:00"
683511,"Building a virtual private network","2007-11-07 15:33:00","2007-12-28 13:56:00"
683511,"Building a virtual private network","2009-01-21 13:21:00","2009-03-19 14:36:00"
683511,"Building a virtual private network","2010-02-25 14:26:00","2010-03-20 14:02:00"
683511,"Building a virtual private network","2012-11-16 10:43:00","2012-12-11 17:44:00"
720462,"Inside TOPS the complete guide to networking Macs PCs and printers","2005-06-09 12:59:00","2008-06-24 16:48:00"
761760,"LDAP system administration","2005-12-31 16:09:00","2006-03-09 18:05:00"
761760,"LDAP system administration","2005-12-31 16:09:00","2006-04-27 11:30:00"
761760,"LDAP system administration","2006-08-01 18:30:00","2006-10-03 19:00:00"
761760,"LDAP system administration","2007-01-24 15:25:00","2007-02-21 18:11:00"
761760,"LDAP system administration","2007-01-24 15:25:00","2007-02-22 14:52:00"
761760,"LDAP system administration","2007-01-24 15:25:00","2007-03-07 11:02:00"
761760,"LDAP system administration","2007-01-24 15:25:00","2007-03-08 16:59:00"
761760,"LDAP system administration","2007-04-25 17:30:00","2007-05-22 19:01:00"
761760,"LDAP system administration","2007-04-25 17:30:00","2007-05-23 13:47:00"
761760,"LDAP system administration","2007-05-26 11:39:00","2007-06-22 18:17:00"
761760,"LDAP system administration","2007-05-26 11:39:00","2007-06-25 18:08:00"
761760,"LDAP system administration","2007-07-01 15:23:00","2007-07-22 16:12:00"
761760,"LDAP system administration","2007-07-01 15:23:00","2007-08-05 12:04:00"
761760,"LDAP system administration","2007-07-01 15:23:00","2007-08-08 13:13:00"
761760,"LDAP system administration","2007-07-01 15:23:00","2007-08-23 13:21:00"
761760,"LDAP system administration","2007-08-30 18:16:00","2007-09-22 16:51:00"
761760,"LDAP system administration","2007-10-16 14:55:00","2007-11-20 10:02:00"
761760,"LDAP system administration","2007-12-03 13:55:00","2007-12-21 11:58:00"
761760,"LDAP system administration","2008-01-09 19:18:00","2008-03-03 17:45:00"
761760,"LDAP system administration","2008-05-06 18:33:00","2008-05-06 18:34:00"
761760,"LDAP system administration","2008-05-06 18:34:00","2008-07-05 17:02:00"
761760,"LDAP system administration","2008-09-20 12:25:00","2008-11-05 22:14:00"
761760,"LDAP system administration","2008-09-20 12:25:00","2008-11-07 11:48:00"
761760,"LDAP system administration","2009-01-21 19:05:00","2009-02-11 17:59:00"
761760,"LDAP system administration","2009-01-21 19:05:00","2009-06-24 17:45:00"
761760,"LDAP system administration","2009-06-28 12:13:00","2009-11-23 14:07:00"
761760,"LDAP system administration","2009-11-27 10:40:00","2010-01-08 17:03:00"
761760,"LDAP system administration","2010-10-08 17:39:00","2010-11-28 00:00:00"
761760,"LDAP system administration","2010-12-13 14:49:00","2011-02-02 00:00:00"
761760,"LDAP system administration","2010-12-13 14:49:00","2011-04-08 09:49:00"
761760,"LDAP system administration","2011-04-15 11:15:00","2011-05-06 11:20:00"
761760,"LDAP system administration","2011-06-17 14:34:00","2011-07-06 16:19:00"
761760,"LDAP system administration","2011-09-07 13:49:00","2011-09-14 13:12:00"
761906,"LDAP system administration","2005-12-03 10:35:00","2006-01-31 17:22:00"
761906,"LDAP system administration","2005-12-03 10:35:00","2006-02-28 12:27:00"
761906,"LDAP system administration","2006-11-07 19:36:00","2006-11-28 14:54:00"
809919,"book lovers guide to the internet","2005-03-22 13:46:00","2006-04-24 14:17:00"
809919,"book lovers guide to the internet","2006-05-04 11:02:00","2006-06-01 15:31:00"
809919,"book lovers guide to the internet","2006-05-04 11:02:00","2006-06-27 10:40:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2006-09-05 19:55:00","2006-11-24 11:02:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2007-06-23 17:52:00","2007-07-18 14:18:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2007-06-23 17:52:00","2007-07-19 10:48:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2007-07-19 16:40:00","2007-08-13 16:56:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2007-11-13 18:39:00","2008-01-12 14:14:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2009-06-14 16:29:00","2009-08-18 17:15:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2010-01-19 18:03:00","2011-07-18 14:43:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2012-03-19 13:39:00","2012-05-23 11:24:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2012-05-23 11:24:00","2012-08-13 13:44:00"
823155,"ATM MPLS theory and application foundations of multi service networking","2012-11-10 16:32:00","2013-01-06 16:57:00"
863534,"Internet standards and protocols","2006-07-12 17:50:00","2006-09-20 16:20:00"
863534,"Internet standards and protocols","2008-05-15 18:08:00","2008-06-04 17:23:00"
863616,"Internet standards and protocols","2006-05-20 16:52:00","2006-05-22 14:51:00"
863616,"Internet standards and protocols","2008-05-14 11:43:00","2008-07-18 00:00:00"
886541,"Cisco networking for dummies","2005-10-16 16:34:00","2006-02-15 16:24:00"
886541,"Cisco networking for dummies","2006-02-16 11:46:00","2006-03-04 17:11:00"
886541,"Cisco networking for dummies","2006-05-18 15:52:00","2006-06-13 12:43:00"
886541,"Cisco networking for dummies","2006-05-18 15:52:00","2006-06-17 11:27:00"
886541,"Cisco networking for dummies","2006-08-26 14:05:00","2006-09-22 17:05:00"
886541,"Cisco networking for dummies","2006-08-26 14:05:00","2006-09-27 11:31:00"
886541,"Cisco networking for dummies","2007-02-08 14:08:00","2007-03-01 14:43:00"
886541,"Cisco networking for dummies","2007-02-08 14:08:00","2007-03-05 19:28:00"
886541,"Cisco networking for dummies","2007-02-08 14:08:00","2007-03-06 13:18:00"
886541,"Cisco networking for dummies","2007-05-22 15:17:00","2007-06-15 10:52:00"
886541,"Cisco networking for dummies","2007-05-22 15:17:00","2007-07-20 10:33:00"
886541,"Cisco networking for dummies","2007-07-21 13:09:00","2007-10-29 15:22:00"
886541,"Cisco networking for dummies","2007-11-12 19:27:00","2007-12-04 13:53:00"
886541,"Cisco networking for dummies","2007-11-12 19:27:00","2007-12-27 12:12:00"
886541,"Cisco networking for dummies","2008-01-14 16:10:00","2008-02-27 19:00:00"
886541,"Cisco networking for dummies","2008-01-14 16:10:00","2008-03-01 16:53:00"
886541,"Cisco networking for dummies","2008-01-14 16:10:00","2008-03-03 15:52:00"
886541,"Cisco networking for dummies","2008-03-06 14:13:00","2008-03-17 21:57:00"
886541,"Cisco networking for dummies","2008-04-29 18:17:00","2008-05-19 13:31:00"
886541,"Cisco networking for dummies","2008-05-19 14:18:00","2008-05-25 17:13:00"
886541,"Cisco networking for dummies","2008-07-02 19:39:00","2008-07-10 18:24:00"
886541,"Cisco networking for dummies","2008-07-02 19:39:00","2008-07-11 11:20:00"
896506,"complete idiots guide to high speed Internet connections","2006-09-25 14:29:00","2006-10-02 13:44:00"
896506,"complete idiots guide to high speed Internet connections","2007-10-25 12:03:00","2007-12-26 11:56:00"
896506,"complete idiots guide to high speed Internet connections","2007-12-26 12:00:00","2008-02-20 17:54:00"
896506,"complete idiots guide to high speed Internet connections","2008-03-16 16:14:00","2008-03-17 11:21:00"
896506,"complete idiots guide to high speed Internet connections","2009-07-24 13:37:00","2009-08-13 14:57:00"
896589,"complete idiots guide to high speed Internet connections","2006-02-03 17:20:00","2006-02-06 18:28:00"
896589,"complete idiots guide to high speed Internet connections","2006-03-22 16:37:00","2006-03-24 15:22:00"
896589,"complete idiots guide to high speed Internet connections","2006-03-22 16:37:00","2006-09-19 19:39:00"
896589,"complete idiots guide to high speed Internet connections","2006-09-23 17:55:00","2006-10-02 13:15:00"
896589,"complete idiots guide to high speed Internet connections","2007-01-06 14:56:00","2007-01-23 18:08:00"
896589,"complete idiots guide to high speed Internet connections","2007-11-29 15:29:00","2007-12-20 16:31:00"
896589,"complete idiots guide to high speed Internet connections","2009-01-02 17:50:00","2009-02-04 19:56:00"
924681,"Troubleshooting maintaining repairing networks","2005-11-19 10:30:00","2006-01-03 15:07:00"
924681,"Troubleshooting maintaining repairing networks","2006-05-22 19:01:00","2006-06-15 17:51:00"
924681,"Troubleshooting maintaining repairing networks","2006-08-12 15:31:00","2006-08-23 14:57:00"
924681,"Troubleshooting maintaining repairing networks","2006-08-12 15:31:00","2006-09-15 12:19:00"
924681,"Troubleshooting maintaining repairing networks","2006-09-20 18:30:00","2006-10-17 10:54:00"
924681,"Troubleshooting maintaining repairing networks","2006-09-20 18:30:00","2006-10-25 14:32:00"
924681,"Troubleshooting maintaining repairing networks","2006-10-27 13:07:00","2006-11-18 14:26:00"
924681,"Troubleshooting maintaining repairing networks","2007-04-28 13:50:00","2007-05-14 11:13:00"
924681,"Troubleshooting maintaining repairing networks","2007-06-04 10:26:00","2007-07-28 16:15:00"
924681,"Troubleshooting maintaining repairing networks","2007-10-20 15:20:00","2007-11-21 16:23:00"
924681,"Troubleshooting maintaining repairing networks","2008-01-19 13:11:00","2008-03-10 18:13:00"
924681,"Troubleshooting maintaining repairing networks","2008-01-19 13:11:00","2008-03-11 07:59:00"
924681,"Troubleshooting maintaining repairing networks","2008-04-04 15:17:00","2008-05-02 15:43:00"
924681,"Troubleshooting maintaining repairing networks","2008-08-08 15:35:00","2008-08-13 18:38:00"
924681,"Troubleshooting maintaining repairing networks","2008-08-08 15:35:00","2008-09-17 11:28:00"
924681,"Troubleshooting maintaining repairing networks","2008-11-03 12:31:00","2008-11-21 12:05:00"
924712,"Nortel Networks a beginners guide","2006-10-02 14:10:00","2006-10-27 17:41:00"
924712,"Nortel Networks a beginners guide","2007-10-31 10:18:00","2007-11-19 11:56:00"
927044,"IPSec securing VPNs","2006-07-29 11:51:00","2006-08-17 13:43:00"
927044,"IPSec securing VPNs","2007-06-23 14:33:00","2007-06-23 17:54:00"
927044,"IPSec securing VPNs","2007-07-19 15:31:00","2007-08-08 20:23:00"
927044,"IPSec securing VPNs","2008-02-08 16:40:00","2008-02-26 14:16:00"
927044,"IPSec securing VPNs","2008-03-20 13:22:00","2008-05-22 14:14:00"
927044,"IPSec securing VPNs","2008-05-29 14:06:00","2008-07-31 12:46:00"
927044,"IPSec securing VPNs","2008-08-28 13:25:00","2008-10-30 12:40:00"
927044,"IPSec securing VPNs","2009-11-09 14:10:00","2009-11-23 17:42:00"
927044,"IPSec securing VPNs","2009-11-09 14:10:00","2010-02-02 13:37:00"
927044,"IPSec securing VPNs","2011-01-05 17:56:00","2011-03-11 00:00:00"
927044,"IPSec securing VPNs","2011-01-05 17:56:00","2011-04-10 12:32:00"
927044,"IPSec securing VPNs","2012-09-26 12:58:00","2012-10-11 15:40:00"
946380,"CCNP routing","2005-12-08 14:49:00","2006-02-18 13:28:00"
946535,"CCNP routing","2006-10-06 14:44:00","2006-10-06 14:48:00"
951144,"MCSE Jumpstart computer and network basics","2006-02-21 13:49:00","2006-04-12 12:01:00"
951144,"MCSE Jumpstart computer and network basics","2007-12-11 17:01:00","2008-01-02 10:25:00"
951144,"MCSE Jumpstart computer and network basics","2007-12-11 17:01:00","2008-01-03 12:05:00"
951144,"MCSE Jumpstart computer and network basics","2008-01-08 17:39:00","2008-03-13 00:00:00"
951144,"MCSE Jumpstart computer and network basics","2008-01-08 17:39:00","2008-09-23 12:39:00"
